ADNPolitico,En contra
aguilarcamin,Neutral
anafvega,No hay suficientes elementos para determinar una postura
AntonioAttolini,No hay suficientes elementos para determinar una postura
AristeguiOnline,En contra
brozoxmiswebs,No hay suficientes elementos para determinar una postura
carlosloret,No hay suficientes elementos para determinar una postura
ChumelTorres,No hay suficientes elementos para determinar una postura
CiroGomezL,Neutral
CNNEE,En contra
DeniseDresserG,No hay suficientes elementos para determinar una postura
DeniseMaerker,A favor
El_Universal_Mx,En contra
eleconomista,No hay suficientes elementos para determinar una postura
ElFinanciero_Mx,En contra
elheraldo_mx,No hay suficientes elementos para determinar una postura
elpais_america,No hay suficientes elementos para determinar una postura
EnriqueKrauze,Neutral
epigmenioibarra,No hay suficientes elementos para determinar una postura
gibranrr,No hay suficientes elementos para determinar una postura
IfigeniaMtz,Neutral
Javier_Alatorre,En contra
JLMNoticias,En contra
JLozanoA,No hay suficientes elementos para determinar una postura
jorgeramosnews,En contra
lajornadaonline,No hay suficientes elementos para determinar una postura
LeonardoCurzio,No hay suficientes elementos para determinar una postura
LeonKrauze,No hay suficientes elementos para determinar una postura
leozuckermann,No hay suficientes elementos para determinar una postura
lopezdoriga,No hay suficientes elementos para determinar una postura
mario_delgado,No hay suficientes elementos para determinar una postura
MBarbosaMX,No hay suficientes elementos para determinar una postura
MexicoComoVamos,No hay suficientes elementos para determinar una postura
Milenio,No hay suficientes elementos para determinar una postura
molotovmx,En contra
PedroFerriz,En contra
PMunozLedo,En contra
politicomx,No hay suficientes elementos para determinar una postura
PRI_Nacional,En contra
reforma,En contra
reformanacional,En contra
revistaproceso,No hay suficientes elementos para determinar una postura
RicardoAnayaC,En contra
rivapa,En contra
sabinaberman,No hay suficientes elementos para determinar una postura
samuel_garcias,No hay suficientes elementos para determinar una postura
V_TrujilloM,No hay suficientes elementos para determinar una postura
VicenteFoxQue,No hay suficientes elementos para determinar una postura
VRubioMarquez,No hay suficientes elementos para determinar una postura
