id,text,len tweet,likes,rt,position
1271184382037053440,Ok and add some Demon Souls in there too #PS5,45,414,16,0
1271182920175226887,"Seriously, just give me Spider-Man: Miles Morales, Godfall, and Hitman III and I’ll be good till 2022 #PS5",106,1728,149,0
1271180810247450625,Which game has you the most hyped so far? #PS5,46,1698,96,0
1271172636945592320,Miiiilllleeesss #PS5,20,821,126,0
1271169861742452738,"RT @PlayStation: The Future of Gaming on #PS5 begins at 1pm Pacific Time.

ESRB: Rating Pending to Mature 17+ and MAY INCLUDE CONTENT INAPP…",140,0,21641,0
1271094949593985030,"Finally -- today's the day! Get a look at the future of gaming live on our PS5 landing page, where you can sign up… https://t.co/AoKEtOk0QP",139,389,61,0
1270371338876837894,Days of Play is here! Score great deals on tons of PlayStation gear: https://t.co/dmRIDnSDzk https://t.co/CkZPzQvHbC,116,236,28,0
1262481379645968385,@PlayStationUK Can confirm we have all of these,47,32,1,0
1255554861124419586,"RT @THQNordic: Destroy All Humans! will be available on July 28! Pre-order at @GameStop for PlayStation 4 or Xbox One now!

Get it here: ht…",140,0,135,0
1253338039075520517,PlayStation break anyone? https://t.co/nUrDZx1oCj https://t.co/LMN8U5rUI3,73,151,14,0
