id,text,len tweet,likes,rt,postura
1121557019784294401,Algunas mujeres no denuncian las agresiones de violencia doméstica por temor a que la policía no haga nada o la den… https://t.co/uqtBwQKuhd,140,8,4,-1
1121549577159618561,"Joe Biden, vicepresidente durante la Administración de Barack Obama, lanza su campaña en unas primarias que tendrán… https://t.co/MZwelHqBBv",140,5,2,1
1121500396143435782,"Columna | ""A López Obrador le ha dado por meter en el mismo saco calificativo de fifís, conservadores y neoliberale… https://t.co/fHV36U8bTt",140,8,7,1
1121485295139065857,"""Cuando Rajoy era presidente, Vox ya estaba en el radar y eso tiene mucho que ver con el fracaso del proyecto polít… https://t.co/XomKjulyGm",140,2,2,-1
1121478533858103296,La violencia en México bate récords en los primeros meses del Gobierno de Andrés Manuel @lopezobrador_. Se han regi… https://t.co/f8Movfahqa,140,4,10,-1
1121470190594686979,"La violencia no da tregua en México. Con los asesinatos de Maricela Vallejo y David Otlica Avilés, suman ya cuatro… https://t.co/Yn2Rcaz3jH",139,17,16,-1
1121459102159216640,"Joe Biden, vicepresidente de la Administración de Barack Obama, ha anunciado este jueves su carrera por convertirse… https://t.co/0Hh8AqjnkB",140,16,8,1
1121450801187237888,"RT @jorgezepedap: AMLO desconoce cómo funciona el mundo en los pisos de arriba. Es cierto, pero eso no descalifica a su gobierno; conoce lo…",140,0,78,1
1121413917681627136,Las declaraciones del exejecutivo se deben a un acuerdo de colaboración firmado el pasado 14 de febrero por la empr… https://t.co/VVs6xLUzkq,140,3,3,1
1121409426831835137,El exvicepresidente Joe Biden ha lanzado su campaña para convertirse en el candidato demócrata para derrotar a Trum… https://t.co/LL2BJxibdw,140,8,9,1
1121257535493869568,Un tribunal de Tokio aceptó poner en libertad bajo fianza al expresidente de Renault y Nissan Carlos Ghosn por los… https://t.co/tW0Pv0cI3g,139,2,9,1
1121194630224187397,Columna | “El estilo confrontador de López Obrador y su tendencia a la locuacidad ofrecen a sus opositores un sumin… https://t.co/HjOyYhc9q8,140,12,6,1
1120900195749908481,"Por primera vez, la justicia estadounidense imputa a un distribuidor farmacéutico y a dos de sus exejecutivos por c… https://t.co/JjQPprAk9L",140,18,17,1
1120870007582408705,Columna | “Hay voces que han insistido en que debe ser el propio presidente quien comience a moderar la descalifica… https://t.co/CajBpiBlSV,140,7,9,1
