id,text,len tweet,likes,rt,position
1271212133800456192,RT @Milenio: Volvimos a la normalidad: Gasolina sube y se vende casi en 18 pesos en #CdMx https://t.co/K1xiS9jFQL https://t.co/M4TBY2SUcM,137,0,46,0
1271210525502906370,RT @JoseCardenas1: AMLO pide vencer el miedo al virus y salir a la calle https://t.co/qaIq4DZ1HH,96,0,114,0
1270850493678522370,"AMLO aseguraba que, a diferencia de Calderón y EPN, su administración no incrementaría la deuda con respecto al PIB… https://t.co/rAayMenYxR",140,29,5,0
1270789127416557568,RT @JoseCardenas1: López Obrador no permitirá que gobernadores “ninguneen” la investidura presidencial https://t.co/rfjKHtjQPx,126,0,10,0
1270545693393006592,"RT @Milenio: ""Lobo, estás ahí"": Los anuncios anti-AMLO que aparecieron en Jalisco https://t.co/BJR28KkNiV https://t.co/z80EvvJkyD",129,0,169,0
1270489201478438920,"RT @porkestendencia: “Facundo”
Por las reacciones a su mensaje para AMLO. https://t.co/aShlJdwhWn",97,0,10801,0
1270392899268751362,Denuncia AMLO planes para derrocarlo https://t.co/MhVQ9PnD11,60,6,0,0
1270342850027433984,"RT @OpinionDeSan: La periodista del fondo me representa cuando el/la castrosx del salón pedia la palabra.
#LordMolecula #AMLO #ConferenciaP…",140,0,337,0
1270041993280999431,"RT @MVSNoticias: . @lopezobrador_  no se hará prueba de COVID-19

El presidente de México, Andrés Manuel López Obrador, declaró que no se h…",140,0,8,0
1269750202677821440,RT @JoseCardenas1: Aseguran que Irene Esser e hijo de AMLO pusieron pausa a su relación https://t.co/emKx9qLmrD,111,0,108,0
