id,text,len tweet,likes,rt,postura
1121578397774303232,[OPINIÓN] @pedrobriegerok: El nivel de violencia ejercido por un grupo que actúa en nombre de una religión no depen… https://t.co/B8bfNv6AiD,140,23,7,-1
1121569607511367683,El príncipe conversó con oficiales de los cuerpos de socorro que atendieron la tragedia https://t.co/vScb74tX28,111,33,5,1
1121558021585494016,"El presidente @JC_Varela, le explica a @RafaelRomoCNN por qué decidió frenar la entrada de inmigrantes venezolanos… https://t.co/xefUQK5989",139,25,13,1
1121511712581214208,"Martín Lousteau, exministro de economía de Fernández de Kirchner, podría ser el candidato a vicepresidente de Macri https://t.co/IJw6AstC0i",139,22,6,1
1121476490263183362,"RT @RafaelRomoCNN: No se pierdan mi entrevista con el presidente de #Panama @JC_Varela este domingo 28 de abril a las 7pm (hora de #Miami),…",140,0,6,1
1121469199614992384,"Martín Lousteau, exministro de economía de Fernández de Kirchner, podría ser el candidato a vicepresidente de Macri https://t.co/86GYdpypU0",139,13,8,1
1121408796105084929,Los pacientes crónicos en Venezuela continúan esperando la distribución de la ayuda humanitaria y la llegada de nue… https://t.co/5d3RF1ksBq,140,47,69,1
1121402259907149825,¿Por qué el expresidente de Costa Rica Luis Guillermo Solís dice que Ortega y Somoza son la misma cosa? https://t.co/ZqVVgW5oha,127,22,10,1
1121368288838266880,Los pacientes crónicos en Venezuela continúan esperando la distribución de la ayuda humanitaria y la llegada de nue… https://t.co/34M7MZRM3D,140,42,31,1
1121365753314332672,"Para algunos, un nuevo gobierno en Venezuela necesitará una fuerte sociedad con China. Incluso se considera que ser… https://t.co/ezVWwVofch",140,26,15,1
1121350651823493126,El presidente de México Andrés Manuel López Obrador anunció que el próximo lunes iniciarán las labores de construcc… https://t.co/bWFXQyYUGZ,140,15,9,1
1121326759981481985,"El presidente de Filipinas, Rodrigo Duterte, amenazó a Canadá con ""ir a la guerra"" tras varios años de que una comp… https://t.co/RXs7qA9Rcz",140,38,30,1
1121324809407930368,Deutsche Bank ha sido uno de los pocos grandes bancos que están dispuestos a prestar a la Organización Trump en los… https://t.co/3K4tN5Z8QM,140,8,5,1
1121311659858046976,"Abigail Disney, sobrina nieta de Walt Disney, critica nuevamente los sueldos millonarios de algunos ejecutivos de l… https://t.co/EkS0kaSJB7",140,17,7,1
