id,text,len tweet,likes,rt,position
1264634112003825664,What's your favorite game of the PS4/Switch/Xbox One generation so far?,71,4670,285,0
1253334921629720577,Red Dead Redemption 2 is coming to Xbox Game Pass on May 7. https://t.co/ERDwqCNdXJ,83,1323,129,0
1245035745791733762,The classic Call of Duty: Modern Warfare 2 campaign has been remastered and is out now on PS4. Coming to Xbox and P… https://t.co/3zVxiuahke,140,2286,288,0
1239575529457504256,More new details on Xbox Series X have been revealed. https://t.co/e4ZDQXfv7T,77,253,34,0
1237412323075055616,"RT @geoffkeighley: 20 years ago today, on March 10 at GDC 2000, the Xbox was announced by Bill Gates and Seamus Blackley. https://t.co/E3SS…",140,0,1007,0
1235415007875067904,@XboxP3 @mattbooty @CoalitionGears 😮👀👀👏🏻,40,56,2,0
1231945684330467328,This blog post from @xboxp3 has more details on the features: https://t.co/KWRs8YZiqW,85,288,49,0
1231945319593783299,Here are the official specs for @xbox Series X. https://t.co/txQkwRBCWC,71,5248,653,0
1206289942650834944,@XboxP3 @CAPiTAsuperCORP @CrystalMt Thanks for joining us!,58,157,2,0
1205355437635207175,"RT @thegameawards: Woah, are we dreaming? Check out this World Premiere from @XBOX! #TheGameAwards https://t.co/v2NOK75Sft",122,0,2076,0
